NGA,BEN,3.8
BRN,JPN,30.6
MYS,BRN,21.6
BRN,IDN,19.8
SGP,BRN,17.4
BRN,PRK,15.1
JPN,BRN,12.8
BRN,AUS,12.2
E27,BRN,10.8
BRN,USA,6.7
BRA,BRN,9.0
BOL,BRA,33.3
BRA,BOL,18.1
BOL,ARG,11.6
ARG,BOL,12.5
BOL,USA,9.6
CHN,BOL,12.3
BOL,E27,8.8
USA,BOL,11.3
BOL,JPN,5.9
E27,BOL,9.0
BRA,E27,20.7
E27,BRA,20.5
BRA,TWN,17.3
BRA,BRA,15.1
BRA,USA,10.1
CHN,BRA,14.5
BRA,ARG,8.9
ARG,BRA,7.5
BRA,JPN,3.7
PRK,BRA,4.5
BHS,USA,78.3
BRA,BHS,88.9
BHS,E27,12.1
TTO,BHS,4.7
BHS,CAN,3.0
E27,BHS,1.2
BHS,PAN,1.2
JPN,BHS,0.6
BTN,IDN,82.4
IDN,BTN,75.1
BWA,E27,65.2
ZAF,BWA,65.7
BWA,ZAF,13.5
E27,BWA,13.2
BWA,ISR,5.2
CHN,BWA,10.9
BWA,NOR,4.8
BRA,BWA,2.2
BWA,ZWE,2.9
ISR,BWA,1.4
BLR,E27,38.9
RUS,BLR,54.0
BLR,RUS,33.7
E27,BLR,18.9
BLR,UKR,10.3
CHN,BLR,4.7
BLR,BRA,3.0
UKR,BLR,4.4
BLR,TWN,1.6
VEN,BLR,2.5
BLZ,USA,49.1
BRA,BLZ,47.9
BLZ,E27,31.3
MEX,BLZ,10.0
BLZ,CRI,4.5
TWN,BLZ,9.7
BLZ,JPN,2.9
GTM,BLZ,8.0
BLZ,MEX,2.8
PAN,BLZ,5.4
CAN,BRA,73.7
USA,CAN,49.5
CAN,E27,8.9
E27,CAN,11.7
CAN,CHN,3.8
TWN,CAN,10.8
CAN,JPN,2.4
MEX,CAN,5.5
CAN,MEX,1.2
JPN,CAN,2.9
CAF,E27,79.8
E27,CAF,39.9
CAF,CHN,9.4
USA,CAF,15.6
CAF,SAU,2.9
CMR,CAF,8.8
CAF,TUR,1.5
TWN,CAF,7.9
CAF,CMR,1.4
JPN,CAF,3.9
COG,E27,21.4
E27,COG,31.6
COG,CHN,20.9
AGO,COG,15.0
COG,AGO,13.1
SGP,COG,10.1
COG,BRA,10.4
GNQ,COG,6.2
CHE,E27,56.9
E27,CHE,78.0
CHE,USA,10.3
BRA,CHE,5.0
CHE,TWN,4.2
CHN,CHE,3.4
CIV,E27,37.6
E27,CIV,26.1
CIV,BRA,11.9
NGA,CIV,23.4
CIV,NGA,6.0
TWN,CIV,6.9
CIV,CAN,5.7
THA,CIV,5.2
CIV,ZAF,5.5
COL,CIV,3.9
CHL,CHN,22.8
USA,CHL,20.2
CHL,E27,17.7
CHN,CHL,16.9
CHL,USA,11.2
E27,CHL,13.8
CHL,JPN,11.1
BRA,CHL,8.3
CHL,BRA,5.5
ARG,CHL,6.3
CMR,E27,55.2
E27,CMR,31.5
CMR,TCD,8.7
NGA,CMR,18.2
CMR,CHN,8.5
TWN,CMR,10.6
CMR,BRA,5.7
USA,CMR,3.3
CMR,COD,4.5
THA,CMR,3.0
CHN,E27,18.8
E27,CHN,12.1
CHN,BRA,17.1
JPN,CHN,11.2
COL,VEN,38.5
BRA,COL,25.0
COL,E27,15.6
TWN,COL,15.0
COL,CHL,3.9
E27,COL,13.7
COL,TWN,3.5
MEX,COL,11.1
COL,PAN,3.4
BRA,COL,5.0
CRI,USA,38.3
BRA,CRI,45.6
CRI,E27,17.2
E27,CRI,8.5
CRI,PAN,5.5
CHN,CRI,8.4
CUB,VEN,12.8
E27,CUB,21.8
CUB,E27,9.8
TWN,CUB,13.4
CUB,RUS,3.2
USA,CUB,4.5
CUB,BOL,1.6
CAN,CUB,3.5
CUB,MEX,1.2
BRA,CUB,3.1
CPV,E27,94.2
E27,CPV,80.5
CPV,SLV,3.5
BRA,CPV,3.8
CPV,STP,0.5
JPN,CPV,2.6
CPV,BRA,0.5
TWN,CPV,2.6
CPV,IDN,0.4
THA,CPV,1.8
CYP,E27,50.9
E27,CYP,68.3
CYP,LBN,3.4
ISR,CYP,10.2
CYP,ISR,2.1
TWN,CYP,4.8
CYP,ARE,1.8
USA,CYP,1.5
CYP,EGY,1.5
SDN,CYP,1.1
CZE,E27,83.0
E27,CZE,64.3
CZE,RUS,3.2
TWN,CZE,12.5
CZE,BRA,1.9
RUS,CZE,5.4
CZE,CHE,1.7
JPN,CZE,2.1
CZE,CHN,1.0
USA,CZE,2.0
DEU,E27,58.2
E27,DEU,54.8
DEU,BRA,7.0
TWN,DEU,8.9
DEU,CHN,6.1
USA,DEU,5.5
DEU,CHE,4.5
CHE,DEU,4.2
DEU,RUS,3.3
RUS,DEU,3.3
DJI,ETH,35.3
E27,DJI,37.3
DJI,E27,20.6
ARE,DJI,18.5
DJI,SOM,11.9
SAU,DJI,6.0
DJI,BRA,8.7
JPN,DJI,5.5
DJI,QAT,6.3
ETH,DJI,5.0
DNK,E27,59.4
E27,DNK,70.6
DNK,NOR,6.2
TWN,DNK,6.9
DNK,BRA,5.1
NOR,DNK,4.5
DNK,CHN,2.2
USA,DNK,2.7
DNK,RUS,1.8
RUS,DNK,1.9
DMA,KNA,17.7
USA,DMA,41.8
DMA,JAM,17.3
TTO,DMA,15.3
DMA,E27,16.8
E27,DMA,8.0
DMA,TTO,13.9
VEN,DMA,7.2
DMA,ATG,9.1
JPN,DMA,4.1
DOM,BRA,54.5
USA,DOM,41.6
DOM,DOM,16.6
TWN,DOM,9.8
DOM,E27,8.0
E27,DOM,9.0
DOM,CHN,5.4
VEN,DOM,6.8
DOM,VEN,1.3
MEX,DOM,6.0
DZA,E27,50.8
E27,DZA,52.1
DZA,BRA,20.6
TWN,DZA,10.0
DZA,CAN,6.1
USA,DZA,4.6
DZA,BRA,4.4
ARG,DZA,3.8
DZA,TUR,3.4
BRA,DZA,3.7
ECU,BRA,44.9
USA,ECU,21.2
ECU,E27,11.8
CHN,ECU,13.7
ECU,PER,7.7
E27,ECU,9.8
ECU,VEN,6.6
COL,ECU,8.7
ECU,PAN,4.6
PAN,ECU,6.1
EST,E27,59.3
E27,EST,64.4
EST,RUS,15.7
RUS,EST,11.4
EST,BRA,6.6
TWN,EST,7.4
EST,NGA,3.4
JPN,EST,2.0
EST,NOR,2.8
USA,EST,1.7
EGY,E27,31.3
E27,EGY,29.4
EGY,IDN,7.3
USA,EGY,10.7
EGY,SAU,6.1
TWN,EGY,9.1
EGY,BRA,5.2
KWT,EGY,4.7
EGY,TUR,4.9
TUR,EGY,4.4
ESP,E27,66.8
E27,ESP,53.8
ESP,BRA,3.5
TWN,ESP,7.9
ESP,TUR,2.0
USA,ESP,4.0
ESP,MAR,1.9
RUS,ESP,2.6
ESP,CHE,1.8
DZA,ESP,1.9
ETH,E27,33.7
CHN,ETH,19.3
ETH,TWN,10.8
E27,ETH,14.7
ETH,SOM,9.3
SAU,ETH,10.1
ETH,MLI,6.8
IDN,ETH,8.4
ETH,SAU,6.4
USA,ETH,5.5
FIN,E27,53.6
E27,FIN,60.9
FIN,RUS,9.3
RUS,FIN,18.2
FIN,BRA,4.8
TWN,FIN,3.6
FIN,CHN,4.6
NOR,FIN,2.9
FIN,NOR,2.8
USA,FIN,2.3
FJI,AUS,20.7
SGP,FJI,33.0
FJI,BRA,11.4
AUS,FJI,20.4
FJI,JPN,7.6
NZL,FJI,16.0
FJI,NZL,5.8
TWN,FJI,6.1
FJI,E27,5.5
BRA,FJI,3.6
FRA,E27,60.9
E27,FRA,58.9
FRA,USA,5.6
CHN,FRA,8.0
FRA,TWN,3.2
BRA,FRA,5.6
FRA,CHE,3.1
RUS,FRA,2.8
FRA,RUS,1.8
CHE,FRA,2.3
GAB,USA,59.0
E27,GAB,65.1
GAB,E27,17.9
BRA,GAB,7.1
GAB,TWN,8.0
CHN,GAB,4.9
GAB,MYS,4.0
JPN,GAB,2.1
GAB,PRK,1.6
CMR,GAB,2.1
GBR,E27,53.4
E27,GBR,51.3
GBR,USA,13.3
CHN,GBR,9.0
GBR,TWN,3.0
BRA,GBR,8.1
GBR,IDN,1.8
NOR,GBR,6.0
GBR,CHE,1.8
JPN,GBR,2.1
GRD,DMA,16.4
BRA,GRD,30.9
GRD,USA,16.3
TTO,GRD,24.9
GRD,E27,16.1
E27,GRD,10.7
GRD,LCA,11.2
VEN,GRD,7.0
