Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Bolivia;BOL;71480000;77690000;96830000;103280000;102690000;133850000;138430000;150950000;152850000;165010000;159180000;169630000;185400000;230200000;390000000;557900000;554600000;617900000;807800000;894300000;665000000;917000000;554000000;577000000;489000000;691000000;674000000;766000000;591000000;611000000;687000000;970000000;1090000000;1206000000;1209000000;1424000000;1635000000;1851000000;1983000000;1755000000;1830000000;1708000000;1770000000;1615910000;1844200000;2341350000;2814260000;3456990000;5081370000;4544938329;5383651329;7650000000;
Bosnia and Herzegovina;BIH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;360000000;365000000;894000000;1082000000;1882000000;2333000000;2910000000;3305000000;3107000000;3354000000;3872436000;4801000000;5914556621;7070000000;7345000000;9720056000;12188609000;8773333000;9222974000;11048204400;
Botswana;BWA;9240000;8083600;10878000;11589200;13060600;23227400;26355000;31318000;32523400;45774400;57296400;82653200;109518000;165663000;184329000;216132000;208593000;285541000;370787000;538099000;692000000;797000000;689000000;735000000;697000000;580000000;713000000;937000000;1196000000;1500000000;1946000000;1947000000;1861000000;1771000000;1640000000;1911000000;1723000000;2258000000;2251000000;2198000000;2081000000;1809000000;1845000000;2448000000;3231478000;3161000000;3085802000;4066784000;5211097000;4728029000;5656806000;7160000000;
Brazil;BRA;1462000000;1460000000;1475000000;1487000000;1263000000;1096000000;1496000000;1667000000;2132000000;2265000000;2849000000;3701000000;4783000000;6999000000;14168000000;13592000000;13726000000;13257000000;15054000000;19804000000;24961000000;24079000000;21069000000;16801000000;15210000000;14332000000;15557000000;16581000000;16055000000;19875000000;22524000000;22950000000;23068000000;27740000000;35997000000;54137400000;56792400000;63290800000;61134800000;51908900000;59052800000;58640400000;49716300000;50859000000;66433400000;77627800000;95837900000;1.26645E+11;1.82377E+11;1.33678E+11;1.91491E+11;2.3687E+11;
Brunei Darussalam;BRN;17000000;16000000;16000000;21000000;31000000;36000000;51000000;45000000;69000000;73000000;84000000;299000000;106000000;132000000;185000000;273000000;260000000;279000000;281000000;396000000;572000000;594000000;731000000;724000000;626000000;615000000;656000000;641000000;744000000;859000000;1001000000;1208000000;1482000000;1822000000;1854000000;2091000000;2494000000;2203000000;1552000000;1342000000;1107000000;1159000000;1556000000;1327000000;1422000000;1491000000;1676185000;2100723000;2571865000;2448922000;2459424847;3250000000;
Bulgaria;BGR;633000000;666000000;785000000;933000000;1062000000;1177780000;1478630000;1571790000;1782050000;1749570000;1830770000;2119660000;2566670000;3239490000;4325770000;5949000000;6228000000;6329000000;7651000000;8514000000;9670000000;10800000000;11540000000;12290000000;12720000000;13630000000;15200000000;16160000000;16700000000;15180000000;5100000000;3790000000;4220000000;4900000000;4585000000;5660000000;5075000000;4930000000;4949000000;5478114074;6543612763;7279259131;7953643363;10871424534;14453494988;18163000000;23269600000;29961231344;36908255200;23538784280;25513229070;32114136000;
Burkina Faso;BFA;10666300;28373200;34713000;37074700;39675400;37143600;37645900;36337400;43762900;53996700;49335700;56411400;68553200;98064300;144472000;151238000;143707000;209301000;227473000;300835000;359000000;338000000;347000000;291000000;253000000;332000000;405000000;434000000;454000000;391000000;536000000;533000000;466000000;509000000;349000000;455000000;647000000;587000000;732000000;678000000;611000000;656000000;739000000;925000000;1270000000;1260000000;1319000000;1678113000;2017741000;1870281000;2048216000;2600000000;
Burundi;BDI;21000000;17000000;19000000;18320000;17000000;18000000;20000000;20000000;22811400;21485700;22342900;29862900;31600000;31296800;43098400;61549200;57881000;74188900;98288900;152456000;168000000;161000000;213000000;182000000;186000000;189000000;202000000;212000000;204000000;187000000;231000000;255000000;221000000;196000000;224000000;234000000;127000000;121000000;158000000;118000000;148000000;139340000;129406000;156604000;176224000;269237895;430743000;319105000;402688000;402225000;509179000;700000000;
Cambodia;KHM;95000000;97000000;102000000;107000000;82000000;103000000;111000000;96000000;116000000;102000000;54000000;57000000;80000000;150000000;180000000;60000000;10000000;;;;180000000;180000000;180000000;180000000;180000000;120000000;140000000;140000000;127000000;135000000;164000000;245000000;443000000;471000000;744000000;1187000000;1072000000;1064000000;1166000000;1591000000;1939000000;2094000000;2318000000;2559940000;3193290000;3927000000;4771240000;5438870000;6508420000;5830456000;6790731000;9300000000;
Cameroon;CMR;84000000;96000000;102000000;127849000;115899000;133723000;130726000;177353000;187602000;204359000;242124000;250614000;303295000;333514000;436662000;599157000;613342000;735182000;1055600000;1275150000;1602000000;1427000000;1211000000;1224000000;1112000000;1151000000;1704000000;1723000000;1274000000;1261000000;1400000000;1173000000;1163000000;1102000000;1083000000;1199000000;1227000000;1359000000;1495000000;1318000000;1489000000;1852000000;1866000000;2163400366;2406303000;2735000000;3150470000;4656503629;5686153000;4441712000;5133283000;6500000000;
