Country Name;Country Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Burkina Faso;BFA;4310260;3572980;7879180;9317290;12173200;14907700;16143200;17941900;21421700;20510200;18206100;15933400;20371100;25122600;36010100;43529400;53420600;55234000;42704900;76708400;90000000;74000000;56000000;58000000;79000000;71000000;83000000;155000000;142000000;95000000;152000000;106000000;64000000;69000000;107000000;276000000;233000000;232000000;319000000;255000000;209000000;223000000;246742000;320544000;479287000;468000000;588000000;623000000;693159000;900493000;1288134000;1800000000;
Burundi;BDI;7000000;8000000;9000000;9000000;9000000;9000000;10000000;14000000;14832000;11878900;24361100;18537100;26011400;29843500;30971400;31932700;60538000;89700000;69377800;104000000;65000000;75000000;88000000;80000000;103000000;112000000;154000000;91000000;133000000;78000000;75000000;90000000;72000000;68000000;120000000;105000000;39000000;86000000;65000000;54000000;50000000;38520000;30000000;37677900;46907000;58006000;58284000;58836000;57440000;67391699.05;101193203.8;140000000;
Cambodia;KHM;70000000;63000000;54000000;89000000;88000000;105000000;67000000;83000000;89000000;64000000;39000000;11000000;7000000;15000000;19000000;5000000;4000000;15000000;15000000;15000000;16000000;10000000;12000000;15000000;18000000;20000000;21000000;22000000;32000000;44000000;86000000;213000000;265000000;284000000;490000000;855000000;644000000;736000000;800000000;1129000000;1389000000;1499567000;1923000000;2118000000;2798000000;3091500000;3692380000;4088480000;4708010000;4196210000;5143216000;6950000000;
Cameroon;CMR;97000000;98000000;103000000;134809000;124916000;144446000;131305000;121384000;189275000;225185000;226064000;206998000;220887000;352866000;477883000;447227000;510879000;704102000;802429000;1131570000;1384000000;1105000000;1064000000;976000000;886000000;722000000;782000000;806000000;927000000;1682000000;2002000000;1834000000;1840000000;1883000000;1486000000;1651000000;1768000000;1860000000;1671000000;1601000000;1833000000;1749000000;1802000000;2282560206;2476762000;2861244663;3576420000;4230114715;5240985000;3552181000;3878433000;4600000000;
Canada;CAN;5818300000;6085260000;6212630000;6776990000;8037050000;8473210000;10004700000;10999800000;13171300000;14350100000;16786500000;18373600000;21185300000;26436900000;34507600000;34074200000;40598400000;43544800000;48431500000;58293900000;67734000000;72726000000;71234000000;76749000000;90272000000;90950000000;90329000000;98168000000;1.17105E+11;1.21832E+11;1.27629E+11;1.27163E+11;1.34435E+11;1.45178E+11;1.65376E+11;1.92197E+11;2.01633E+11;2.14422E+11;2.14327E+11;2.38446E+11;2.76635E+11;2.59858E+11;2.52394E+11;2.72739E+11;3.16762E+11;3.60475E+11;3.88178E+11;4.20693E+11;4.56471E+11;3.16567E+11;3.87912E+11;4.52167E+11;
Cape Verde;CPV;10660200;967270;771826;838817;957774;973913;1147830;1078260;1426090;1565220;1660210;1609370;1774270;1949770;2070850;2444040;1570430;2179280;2109880;2447310;5000000;3000000;4000000;3000000;3000000;6000000;4000000;8000000;3000000;7000000;6000000;6000000;5000000;4000000;5000000;8000000;13000000;14000000;10000000;11000000;11000000;10000000;10540420.59;12742000;15094000;17615256.38;20651000;19219000;31982000;35226000;44497390.01;72761875.48;
Caribbean small states;CSS;623717113.9;714012518;737793884.8;817301203.3;855801812.3;869972439.8;962727307;999414393.1;1060584778;1130529907;1294755610;1541891380;1727893130;2089746790;4841122730;5951988970;6599957500;7045717530;6937944300;8338518970;9424000000;8025000000;6646000000;6284000000;5732000000;4777000000;3785000000;3943000000;4264000000;4872000000;5587000000;5874000000;4310000000;4292000000;4776000000;5681000000;5748000000;6124000000;5488200000;6081700000;7817000000;7476480000;7047761456;8655728000;10641711000;14430080000;19656619000;19594483444;25775908292;14333921465;17060551441;21536000000;
Cayman Islands;CYM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Central African Republic;CAF;13870600;13732900;14219000;21996900;28928100;26359800;30751100;29029400;35713600;35517400;30369900;32348300;39400400;37281600;48225000;47287900;61196800;81541100;71711000;79620500;116000000;79000000;107000000;80000000;86000000;92000000;66000000;130000000;130000000;134000000;120000000;126000000;107000000;110000000;151000000;171000000;147000000;163000000;151000000;146000000;161000000;142000000;147000000;128000000;133829277.8;128000000;157586000;177771471.9;150000000;120000000;140000000;160000000;
Chad;TCD;13250800;21441900;16544300;22701800;26509700;27230800;23690200;30520200;30706500;31116100;29548900;28140700;35825400;38115000;37409300;47755200;63328100;106549000;98951600;88265600;71000000;83000000;58000000;105000000;131000000;62000000;99000000;109000000;144000000;155000000;188000000;194000000;182000000;131000000;148000000;243000000;238000000;237000000;262000000;243000000;183000000;189000000;185000000;601000000;2191000000;3080945195;3351947828;3666224000;4168555510;2800000000;3500000000;4700000000;
